﻿RecipeId,Name,CookTime,Images,RecipeCategory,Keywords,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
38,Az yağlı meyve mavi dondurulmuş tatlı,PT24H45M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/YUeirxMLQaeE1h3v3qnM_229%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/AFPDDHATWzQ0b1CDpDAT_255%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/UYgf9nwMT2SGGJCuzILO_228%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/PeBMJN2TGSaYks2759BA_20140722_202142.jpg"",
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/picuaETeN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/pictzvxW5.jpg"")",Dondurulmuş tatlılar,"C (""tatlı"", ""düşük protein"", ""düşük kolesterol"", ""sağlıklı"", ""ücretsiz ..."", ""yaz"", ""hafta içi"", ""dondurucu"", ""kolay"")","C (""yaban mersini"", ""granüle şeker"", ""vanilya yoğurt"", ""limon suyu"")",4.5,4,170.9,2.5,1.3,8,29.8,37.1,3.6,30.2,3.2,"C (""2 bardak meyveleri şekerle atın."", ""45 dakika bekletin, ara sıra karıştırın."", ""Berry-Sugar karışımını mutfak robotuna aktarın."", ""Yoğurt ekleyin ve pürüzsüz olana kadar işleyin.Fırınlama kabına dökün (veya üreticilerin talimatlarına göre işlem yapın.Kenarlar sağlam olana kadar. "","" İşlemciye aktarın ve tekrar pürüzsüz olana kadar karıştırın. "",
""Kalan 2 bardak yaban mersini içinde katlayın."", ""Plastik kalıp içine dökün ve bir gece dondurun. Hizmet etmek için hafifçe yumuşatın."")"
39,Aynısı,PT4H25M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/picM9Mhnw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/picHv4Ocr.jpg"")",Tavuk göğsü,"C (""Tavuk uyluk ve bacak"", ""tavuk"", ""kümes hayvanları"", ""et"", ""Asya"", ""Hint"", ""Hafta Gecesi"", ""Soba Üst"")","C (""safran"", ""süt"", ""sıcak yeşil biber biber"", ""soğan"", ""sarımsak"", ""karanfil"", ""biber"", ""kakule tohumu"", ""kimyon tohumu"", ""haşhaş tohumu"", ""Mace"","" Kişniş "","" Nane Yaprağı "","" Taze Limon Suyu "","" Sade Yoğurt "","" Kemiksiz Tavuk "","" Tuz "","" Ghee "","" Soğan "","" Domates "","" Basmati Rice "","" Uzun-Grain pirinç "","" kuru üzüm "","" kaju fıstığı "","" yumurta "")",3,1,1110.7,58.8,16.6,372.8,368.4,84.4,9,20.4,63.4,"C (""Safronu ılık sütte 5 dakika bekletin ve blender'da püre."", ""Chiles, soğan, zencefil, sarımsak, karanfil, karabiber, kakule tohumları, tarçın, kişniş ve kimyon tohumları, haşhaş tohumları, heves, topuz, cilantro ekleyinVeya nane yaprakları ve pürüzsüz macun içine karışır, yoğurt ekleyin. ""Tava.
""Garnitür için rezerv."", ""Aynı tavada, orta ateşte yaklaşık 10 dakika boyunca domates ile turşusu ile tavuğu pişirin.ve pişirin, 15 dakika boyunca düşük ısıda. "","" Tavuk, kaju fıstığı ve badem ekleyin. "","" 5 dakika kaplı. ""Yumurtaların sarı, safran renkli pirinç, fındık ve tavuk renkli bir ekran yapacak şekilde bulaşık. "",
""Ayrılmış soğanı garnitür olarak ekleyin."")"
40,En iyi limonata,PT35M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/picJ4Sz3N.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/pic23FWio.jpg"")",İçecek,"C (""düşük protein"", ""düşük kolesterol"", ""sağlıklı"", ""yaz"", ""<60 dakika"")","C (""Şeker"", ""Lemons,"" Lemon, ""Limon,"" Tatlı Su "","" Taze Limon Suyu "")",4.5,10,311.1,0.2,0,0,1.8,81.5,0.4,77.2,0.3,"C (""Sıkı oturan kapaklı 1 litre kavanoza, şeker ve limon kabuğu koyun veya lezzet koyun; 1 1/2 su bardağı çok sıcak su ekleyin (musluktan değil!). Kapak sıkıca takın, şeker çözünceye kadar kavanoz sallayın."","" Limon suyu ekleyin.tercih et, su. "","" iyice karıştırın. "")"
41,Carina'nın Tofu-Vejetable Kebaps,PT24H20M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picmbLig8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picL02w0s.jpg"")",Ben/Tofu,"C (""Fasulye"", ""Sebze"", ""Düşük Kolesterol"", ""Hafta Gecesi"", ""Broil/Izgara"", ""Fırın"")","C (""Ekstra sağlam tofu"", ""patlıcan"", ""kabak"", ""mantar"", ""soya sosu"", ""düşük sodyum soya sosu"", ""zeytinyağı"", ""akçaağaç şurubu"", ""bal"", ""kırmızı şarap sirkesi"","" limon suyu "","" sarımsak karanfil "","" hardal tozu "","" karabiber "")",4.5,2,536.1,24,3.8,0,1558.6,64.2,17.3,32.1,29.3,"C (""Tofu'yu boşaltın, fazla suyu dikkatlice sıkın ve kağıt havlularla kurutun."", ""Tofu'yu bir inç karelere kesin.Şeritler. "","" Şeritleri bir inçlik küplere çapraz olarak kesin. "","" Kabakları yarım inç kalınlığında dilimlere dilimleyin. "","" Kırmızı biberi ikiye bölün, gövdeyi ve tohumları çıkarın ve her yarıyı bir inç karelere kesin."","" Nemli bir kağıt havlu ile temiz mantarları silin ve gövdeleri çıkarın. "","" Alternatif renk kombinasyonlarında barbekü şişlerine tofu ve sebzeleri iplik: örneğin, önce bir patlıcan, sonra bir dilim tofu, sonra kabak, sonraKırmızı biber, bebek mısır ve mantar. "",
""Tüm şişler dolu olana kadar bu şekilde devam edin."", ""Tüm malzemeleri bir karıştırıcıya koyarak turşuyu yapın ve karıştırılana kadar yaklaşık bir dakika boyunca yüksek hızda harmanlayın."", ""Alternatif olarak, tüm malzemeleri bir cam kavanoza koyun,Kapakla sıkıca örtün ve karışana kadar iyice sallayın.tofu ve sebzelerin kaplandığı. "","" Kebapları üç ila sekiz saat soğutun, bazen turşuyu kaşıkla. "",,
""Kebapları 15-20 dakika boyunca 450 F'de veya ızgarada, sebzeler kızarana kadar kızartın veya ızgara."", ""Öneriler Bu yemek pişmiş, kahverengi pirinç üzerinde servis edilebilir. Dört porsiyon yapmak için miktarlar kolayca ikiye katlanabilir. "")"
42,Lahana çorbası,PT50M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg""",Sebze,"C (""Düşük Protein"", ""Vegan"", ""Düşük Kolesterol"", ""Sağlıklı"", ""Kış"", ""<60 dakika"", ""Kolay"")","C (""Düz domates suyu"", ""lahana"", ""soğan"", ""havuç"", ""kereviz"")",4.5,11,103.6,0.4,0.1,0,959.3,25.1,4.8,17.7,4.3,"C (""Her şeyi birlikte karıştırın ve kaynatın."", ""Isıyı azaltın ve 30 dakika pişirin (sebzelerinizin yumuşak olmasını tercih ederseniz daha uzun)."", ""Soğumaya kadar soğutun."", ""Ekşi krema ile soğutulmuş servis yapın."")"
43,En iyi siyah alt pasta,PT2H20M,character(0),Kek,"C (""Tatlı"", ""Hafta Gecesi"", ""Soba Üst"", ""<4 saat"")","C (""Graham kraker kırıntıları"", ""şeker"", ""tereyağı"", ""şeker"", ""mısır nişastası"", ""tuz"", ""vanilya özü"", ""su"", ""jelatin"", ""rom"", ""Tartar kremi "","" şeker "")",1,1,437.9,19.3,10.9,94.3,267.6,58,1.8,42.5,7,"C (""Graham kraker kabuğu: Küçük kasede, Graham kraker kırıntılarını, şeker ve tereyağını birleştirin. 9 inç pasta plakasının altına ve yanlarına eşit olarak bastırın. Soğutun (yaklaşık 1 saat).Tavan, Mısır STARCH ve TAZLI, SICAKLARDA SICAKLARIN YAYINDA.2 dakika boyunca sürekli karıştırın. ""
""1-1/2 bardak muhallebi orta kaseye çıkarın; yarı tatlı çikolata lokma ve vanilya özü ekleyin. Morseller eritilene ve karışım pürüzsüz olana kadar karıştırın."", ""Hazırlanan graham kraker kabuğuna dökün;""Çikolatalı katman vanilya tabakası hazırlayın.""Rom ile karıştırın. ""
""1-1/2 quart kasede, yumurta aklarını ve tartar kremini birleştirin; köpüklü olana kadar çırpın. Yavaş yavaş şeker ekleyin; sert tepeler oluşana kadar çırpın. Yumurtayı muhallebi içine katlayın; çikolata tabakasının üzerine dökün.yaklaşık 2 saat). ""."
44,Sıcak tavuk a la kral,PT38M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/picsSKvFd.jpg""",Tavuk,"C (""Kümes hayvanları"", ""et"", ""<60 dakika"")","C (""tavuk"", ""tereyağı"", ""un"", ""süt"", ""kereviz"", ""düğme mantarları"", ""yeşil biber"", ""konserve pimiento"", ""tuz"", ""karabiber"", ""worcestershire sosu"", ""maydanoz"")",5,23,895.5,66.8,31.9,405.8,557.2,29.1,3.1,5,45.3,"C (""1 1/2 ozs tereyağını eritin, unu ekleyin ve 2 ila 3 dakika pişirin, karıştırın."", ""Yavaş yavaş süt ekleyin ve kalın ve pürüzsüz olana kadar karıştırın.Kereviz, düğme mantarları ve doğranmış biber yumuşak ama renkli olmayan. ""Tavuk karışımına ekleyin ve ısıtın. ""
)"
45,Gingersnap Kabuğu Kabuklu Ayran Pasta,PT1H20M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/pic79tPh5.jpg""",Kek,"C (""tatlı"", ""sağlıklı"", ""hafta içi"", ""fırın"", ""<4 saat"")","C (""Şeker"", ""Margarin"", ""Yumurta"", ""Un"", ""Tuz"", ""Buttermilk"", ""Graham Cracker kırıntıları"", ""Margarin"")",4,3,228,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2,"C (""Fırını 350 ° F'ye önceden ısıtın."", ""8 inç turta tavası kullanarak turta kabuğu yapın, pişirin."", ""Middle ve margarini orta kapta karıştırın; yumurta akı ve yumurta ile çırpın."", ""İyi harmanlanana kadar un, tuz ve ayranda karıştırın.Graham kırıntılarını, gingersnap kırıntılarını ve margarini 8 veya 9 inç pasta tavada birleştirin, karışımı tavanın alt ve yan tarafında eşit olarak patlatın. "",
""8 ila 10 dakika veya kabuğun kenarı hafifçe kızarıncaya kadar pişirin."", ""Tel ızgarada soğutun."")"
46,Jad - Salatalık turşusu,PT25M,character(0),Sebze,"C (""Tay"", ""Asya"", ""ücretsiz ..."", ""<30 dakika"")","C (""pirinç sirkesi"", ""heoe"")",5,2,4.3,0,0,0,0.7,1.1,0.2,0.2,0.1,"C (""Salatalık dört uzunlamasına dilimleyin, daha sonra parçaları bir inç kalınlığın sekizinci yaklaşık sekizinci segmentlere dilimleyin."", ""Biberlerin üstlerini dilimleyin (kırmızı mevcut değilse yeşil olanlar kullanılabilir, ancak renk gibi thais kullanılabilirkontrast), herhangi bir gevşek tohuma dokunun ve sonra biberleri ince turlara dilimleyin. "","" Arpacık ve su kestanesi dilimleyin. "","" Birleştirin ve servis. """
47,Tereyağı cevizli kurabiyeleri,PT1H4M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/picfnmxck.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/picCPvxZU.jpg"")",Tatlı,"C (""kurabiye ve kek"", ""meyve"", ""fındık"", ""hafta içi"", ""fırın"", ""<4 saat"")","C (""tereyağı"", ""kahverengi şeker"", ""taneli şeker"", ""vanilya özü"", ""un"", ""ceviz yarısı"")",4,2,69,5.6,1.4,6.3,15,4.5,0.6,1.6,0.8,"C (""Fırını 350 dereceye kadar önceden ısıtın."", ""Büyük karıştırma kabında krem ​​tereyağı."", ""Yavaş yavaş kahverengi şeker ve taneli şeker ekleyin."", ""Krem iyi., ""Sert bir hamur oluşturmak için elenmiş unla karıştırın."", ""Hamuru küçük toplara şekillendirin."", ""Yağlanmış kurabiye tabakasına yerleştirin. Çerezleri şekere batırılmış camla düzleştirin."", ""7 için 350 derecede pişirin.9 dakika, altın kahverengiye kadar (abartılmayın.) Buzlanmadan önce serin. "","" Cevizli yarılarla süsleyin. "")"
